date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:41:46	50382/50382	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-loading-buttons.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-loading-buttons.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:47	54236/54236	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-panels.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-panels.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:47	57284/57284	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-portlets.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-portlets.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:47	69603/69603	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-checkbox-radio.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-checkbox-radio.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:48	88231/88231	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-tabs.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-tabs.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:48	91025/91025	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-modals.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-modals.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:49	68276/68276	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-progressbars.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-progressbars.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:49	56875/56875	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-notification.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-notification.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:49	55904/55904	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-images.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-images.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:50	54260/54260	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-carousel.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-carousel.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:50	41921/41921	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-video.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-video.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:50	63977/63977	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-bootstrap.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-bootstrap.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:51	53177/53177	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/ui-typography.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/ui-typography.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:51	55837/55837	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/components-grid.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/components-grid.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
01:41:52	128429/128429	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Aug%202016%2009:42:49%20GMT	http://coderthemes.com/ubold_2.1/dark_leftbar/components-widgets.html	C:/Mes%20Sites%20Web/backtemplate/coderthemes.com/ubold_2.1/dark_leftbar/components-widgets.html	(from http://coderthemes.com/ubold_2.1/dark_leftbar/index.html)
